Date,Equipe,Infos,Cote,Resultat
2026-02-23,Chico ,Home or draw,1.58,Perdu
2026-02-22,Velez ,Home or draw,1.5,Gagné
2026-02-22,Delfin SC,Home or draw,1.57,Gagné
2026-02-22,Reggiana ,Home or draw,1.44,Gagné
2026-02-22,Angers,Home or draw,1.66,Perdu
2026-02-22,D. La Serena,Home or draw,1.44,Gagné
2026-02-22,Auxerre ,Home or draw,1.6,Perdu
2026-02-22,Sunderland ,Home or draw,1.48,Perdu
2026-02-22,Atalanta ,Home or draw,1.41,Gagné
2026-02-22,Fagiano Okayama,Home or draw,1.6,Perdu
2026-02-22, Internacional de Bogota,Home or draw,1.55,Gagné
2026-02-21,O'Higgins,Home or draw,1.82,Perdu
2026-02-21,West Ham,Home or draw,1.41,Gagné
2026-02-21,Arouca ,Home or draw,1.4,Gagné
2026-02-21,Alverca ,Home or draw,1.5,Gagné
2026-02-21,Huachipato ,Home or draw,1.75,Gagné
2026-02-20, Union La Calera,Home or draw,1.44,Perdu
2026-02-20,Fortuna Sittard,Home or draw,1.44,Gagné
2026-02-19,Independ. Rivadavia,Home or draw,1.41,Perdu
2026-02-19,Atletico Paranaense ,Home or draw,1.4,Perdu
2026-02-18,AC Milan,Home or draw,1.42,Gagné
2026-02-16, Deportivo Cali,Home or draw,1.73,Gagné
2026-02-15,Başakşehir ,Home or draw,1.54,Perdu
2026-02-15,Cremonese,Home or draw,1.56,Gagné
2026-02-15,Udinese ,Home or draw,1.41,Perdu
2026-02-14,Banfield ,Home or draw,1.6,Perdu
2026-02-14,Cesena ,Home or draw,1.81,Perdu
2026-02-14,Casa Pia,Home or draw,1.5,Gagné
2026-02-14,Genclerbirligi ,Home or draw,1.45,Gagné
2026-02-14,FC Tokyo,Home or draw,1.45,Gagné
2026-02-13,Antalyaspor ,Home or draw,1.81,Gagné
2026-02-11,Motherwell ,Home or draw,1.75,Gagné
2026-02-11,Kilmarnock ,Home or draw,1.54,Gagné
2026-02-11,Dundee Utd,Home or draw,1.42,Remboursé
2026-02-10,Reggiana ,Home or draw,1.4,Gagné
2026-02-10,Virtus Entella,Home or draw,1.44,Gagné
2026-02-10, Estudiantes de Rio Cuarto,Home or draw,1.5,Perdu
2026-02-09,Gimnasia M.,Home or draw,1.39,Gagné
2026-02-08,Velez Sarsfield,Home or draw,1.5,Gagné
2026-02-08,Platense ,Home or draw,1.46,Perdu
2026-02-08,Liverpool,Home or draw,1.47,Perdu
2026-02-08,Sarmiento Junin,Home or draw,1.41,Gagné
2026-02-07,Aldosivi ,Home or draw,1.69,Gagné
2026-02-07,Samsunspor ,Home or draw,1.45,Perdu
2026-02-07,Moreirense ,Home or draw,1.6,Perdu
2026-02-07,Central Cordoba,Home or Draw,1.51,Gagné
2026-02-04,Livingston ,Home or draw,1.7,Perdu
2026-02-02,Mallorca ,Home or draw,1.42,Gagné
2026-02-01,Tottenham ,Home or draw,2.23,Gagné
2026-02-01,Genclerbirlig,Home or draw,1.38,Gagné
