Date,Equipe,Baisse_Moyenne,Buts_Dernier_Match,Cote,Resultat,Gain_Unit,Total_Bankroll,ID_Tech
2026-02-04,FC Botosani,6.67,0,1.3,Gagné,,,
2026-02-04,Aberdeen,7.04,3,1.18,Remboursé,,,
2026-02-04,Lanus,9.23,3,1.3,Gagné,,,
2026-02-04,Celtic,10.76,2,1.18,Remboursé,,,
2026-02-03,Heart Of Midlothian,7.71,3,1.29,Perdu,,,
2026-02-03,Unirea Slobozia,5.59,5,1.49,Perdu,,,
2026-02-03,Petrolul Ploiesti,8.41,2,1.49,Perdu,,,
2026-02-02,AS Roma ,15.06,2,1.51,Perdu,-1.0,-0.52,
2026-02-02,FC Botosani,6.67,2,1.39,Perdu,-1.0,-1.52,
2026-02-02,Porto,6.02,3,1.26,Gagné,0.26,-1.26,
2026-02-01,Strasbourg,12.47,5,1.17,Gagné,0.1699999999999999,0.1699999999999999,
2026-02-01,Parma,10.0,4,1.31,Gagné,0.31,0.48,
2026-02-01 00:00:00,AEK,12.62,1,1.29,Gagné,,,
2026-02-01 00:00:00,USG,13.55,0,1.27,Perdu,,,1770112826248.0
2026-02-01 00:00:00,Auxerre,11.4,1,1.45,Perdu,,,1770112906928.0
2026-02-01 00:00:00,Celtic,10.76,4,1.16,Gagné,,,
2026-02-01 00:00:00,Como,10.0,6,1.35,Perdu,,,
2026-02-01 00:00:00,Aston Villa,10.56,2,1.26,Perdu,,,
2026-02-01 00:00:00,Anderlecht,12.0,0,1.33,Gagné,,,
2026-02-01 00:00:00,Hertha Berlin,10.46,4,1.23,Gagné,,,
